id,date time,latitude,longitude,Height,Type,Amplitude,2D_Error,minute of the day
6249,20110818 13:30:01,50.9498,2.9702,0,1,-20.4,0.045,810
6250,20110818 13:30:01,50.9803,2.9733,0,1,-17,0.043,810
6251,20110818 13:30:02,51.1219,3.1114,0,1,-9.7,0.051,810
6252,20110818 13:30:04,50.7627,3.9201,6.5,2,16.4,0.071,810
6253,20110818 13:30:04,50.7645,3.9215,10.2,2,5,0.171,810
6254,20110818 13:30:12,50.3791,3.1018,4.9,2,-10.7,0.06,810
6255,20110818 13:30:12,50.3938,3.1046,0,1,-16.3,0.042,810
6256,20110818 13:30:12,50.3978,3.0776,0,1,-11.7,0.043,810
6257,20110818 13:30:14,50.5147,3.2142,4,2,14.4,0.137,810
6258,20110818 13:30:14,50.5163,3.2494,3.8,2,-52.3,0.067,810
6259,20110818 13:30:14,50.4743,3.2438,0,1,-15.3,0.054,810
6260,20110818 13:30:14,50.4852,3.2714,0,1,-12.8,0.041,810
6261,20110818 13:30:15,50.4851,3.2719,0,1,-8.3,0.051,810
6262,20110818 13:30:17,50.0094,3.8293,0,1,15.6,0.042,810
6263,20110818 13:30:17,50.0211,3.828,7.9,2,-6.5,0.095,810
6264,20110818 13:30:17,50.0277,3.8237,0,1,-90.8,0.037,810
6265,20110818 13:30:17,50.006,3.7955,0,2,9,0.048,810
6266,20110818 13:30:17,50.0237,3.8331,0,1,-22.1,0.037,810
6267,20110818 13:30:17,50.0251,3.7953,0,1,-18.3,0.039,810
6268,20110818 13:30:17,50.0073,3.8232,0,1,-12,0.045,810
6269,20110818 13:30:18,51.0238,2.9726,0,1,-24.5,0.051,810
6270,20110818 13:30:18,51.0225,2.9721,0,1,-12.4,0.048,810
6274,20110818 13:30:28,50.77,3.9018,0,1,20.8,0.053,810
6275,20110818 13:30:28,50.7564,3.9024,4,2,-4.6,0.115,810
6276,20110818 13:30:28,50.7971,3.9135,0,1,-10.8,0.055,810
6277,20110818 13:30:28,50.7996,3.9463,0,1,-6,0.375,810
6278,20110818 13:30:29,50.6099,3.5264,6.6,2,-110.9,0.093,810
6279,20110818 13:30:29,50.6103,3.5256,0,1,8.5,0.046,810
6280,20110818 13:30:29,50.608,3.5329,0,1,-21.4,0.041,810
6281,20110818 13:30:29,50.6074,3.5345,0,1,-22.3,0.039,810
6282,20110818 13:30:29,50.4191,3.2687,6,2,-28,0.087,810
6283,20110818 13:30:29,50.4244,3.268,0,1,14.2,0.06,810
6284,20110818 13:30:29,50.4155,3.2759,8.9,2,19,0.29,810
6285,20110818 13:30:29,50.6069,3.5354,0,1,-32.4,0.048,810
6286,20110818 13:30:29,50.4259,3.2681,7.8,2,6.6,0.415,810
6287,20110818 13:30:29,50.6067,3.5355,0,1,-24.7,0.04,810
6288,20110818 13:30:29,50.6074,3.5356,0,1,-28.9,0.042,810
6289,20110818 13:30:48,50.9846,2.9783,0,1,-34.7,0.047,810
6290,20110818 13:30:48,50.9832,2.9773,0,1,-27.5,0.047,810
6292,20110818 13:30:48,50.9868,2.9822,4.3,2,-19,0.092,810
6293,20110818 13:30:48,50.9776,2.966,7.6,2,13.9,0.195,810
6295,20110818 13:30:48,51.0825,2.9917,0,2,-6.1,0.066,810
6296,20110818 13:30:48,51.0808,2.9938,0,1,5,0.066,810
6297,20110818 13:30:48,51.073,2.9927,0,1,-9.3,0.053,810
6298,20110818 13:30:48,51.112,3.0147,0,1,-6.6,0.063,810
6299,20110818 13:30:50,50.02,3.1566,7,2,21.7,0.054,810
6300,20110818 13:30:50,50.0106,3.164,0,1,-29.9,0.037,810
6301,20110818 13:30:50,50.0341,3.1582,0,1,-10.2,0.045,810
6302,20110818 13:30:51,50.0119,3.1777,0,1,-11.6,0.046,810
6303,20110818 13:30:52,50.5126,3.2337,0,2,9.1,0.058,810
6304,20110818 13:30:52,50.5049,3.2613,0,1,8,0.055,810
6305,20110818 13:30:57,50.0135,3.8364,0,1,8.2,0.065,810
6306,20110818 13:30:57,50.0228,3.8584,0,1,-47,0.036,810
6307,20110818 13:30:57,50.0256,3.8162,0,1,-16.5,0.041,810
6308,20110818 13:30:57,50.0086,3.846,0,1,-18.5,0.041,810
6309,20110818 13:30:57,50.0115,3.8467,6.6,2,9.7,0.065,810
6313,20110818 13:31:08,50.9849,2.9751,0,1,-19.7,0.045,811
6314,20110818 13:31:08,50.9857,2.9762,0,1,-13.5,0.038,811
6315,20110818 13:31:09,50.7781,3.9139,6.9,2,44.4,0.08,811
6316,20110818 13:31:09,50.7785,3.912,7.4,2,21.5,0.284,811
6317,20110818 13:31:09,50.7813,3.9227,9.3,2,6.1,0.369,811
6318,20110818 13:31:09,50.7775,3.913,7.5,2,5.8,0.217,811
6319,20110818 13:31:09,50.7723,3.9139,0,1,10.5,0.057,811
6320,20110818 13:31:09,50.7765,3.9218,0,1,-4.9,0.44,811
6321,20110818 13:31:09,50.7793,3.9186,5.7,2,4.1,0.175,811
6322,20110818 13:31:10,51.5716,3.2187,0,1,15.5,0.041,811
6323,20110818 13:31:15,51.1403,3.1146,0,1,7,0.06,811
6324,20110818 13:31:19,50.3876,3.1203,4.6,2,-15.2,0.07,811
6325,20110818 13:31:19,50.3954,3.0981,0,1,-29.9,0.042,811
6326,20110818 13:31:19,50.3954,3.0973,0,1,-21.4,0.042,811
6330,20110818 13:31:19,50.002,3.0847,0,1,-23.2,0.037,811
6331,20110818 13:31:20,50.0023,3.086,0,1,-8.4,0.058,811
6332,20110818 13:31:25,51.3675,2.9998,0,1,-18.3,0.047,811
6334,20110818 13:31:33,50.0189,3.8158,0,1,-13.8,0.043,811
6336,20110818 13:31:33,50.5181,3.2786,4.8,2,18.3,0.084,811
6337,20110818 13:31:33,50.5186,3.2827,0,1,-29.9,0.048,811
6338,20110818 13:31:33,50.5193,3.2817,6.1,2,-4.3,0.363,811
6339,20110818 13:31:38,50.9744,3.0031,0,1,-29.8,0.052,811
6340,20110818 13:31:38,50.9813,2.9852,0,1,-27.6,0.043,811
6341,20110818 13:31:38,50.9624,2.99,0,1,-15.8,0.044,811
6342,20110818 13:31:38,51.0065,3.0135,0,1,-12.2,0.04,811
6343,20110818 13:31:38,50.7663,3.927,9.9,2,-6.9,0.206,811
6344,20110818 13:31:38,50.7743,3.9225,7.6,2,6.3,0.229,811
6345,20110818 13:31:59,50.7631,3.9547,0,1,8.4,0.061,811
6346,20110818 13:31:59,50.7779,3.9116,0,1,-13.9,0.042,811
6347,20110818 13:31:59,50.7935,3.9186,0,1,-10.8,0.045,811
6350,20110818 13:32:00,50,3.079,0,1,-23,0.042,812
6351,20110818 13:32:07,50.028,3.848,0,1,-34.6,0.039,812
6352,20110818 13:32:08,50.0352,3.8871,0,1,-11.2,0.038,812
6353,20110818 13:32:08,50.0422,3.8449,0,1,-21.2,0.04,812
6354,20110818 13:32:08,50.0503,3.8948,8.3,2,-7.4,0.11,812
6355,20110818 13:32:11,50.5092,3.2736,8.3,2,26.4,0.392,812
6356,20110818 13:32:11,50.5116,3.274,0,1,9.8,0.053,812
6357,20110818 13:32:22,50.9842,2.9816,0,1,-37.2,0.046,812
6358,20110818 13:32:22,50.9848,2.9816,0,1,-33.7,0.043,812
6359,20110818 13:32:22,50.9846,2.9832,0,1,-27,0.043,812
6360,20110818 13:32:22,50.9727,2.967,0,1,-18.3,0.043,812
6361,20110818 13:32:22,50.9813,3.0057,0,1,-21.7,0.041,812
6362,20110818 13:32:22,50.6241,3.5596,0,1,9,0.057,812
6363,20110818 13:32:22,50.6217,3.575,0,1,18.1,0.058,812
6364,20110818 13:32:22,50.981,3.0099,0,1,-46.8,0.057,812
6365,20110818 13:32:22,50.6285,3.5367,6.4,2,-9.8,0.235,812
6366,20110818 13:32:25,51.3778,3.0706,5.6,2,-10.6,0.063,812
6367,20110818 13:32:25,51.3849,3.0649,0,1,-6.7,0.073,812
6369,20110818 13:32:33,50.5536,3.2535,0,1,-10.8,0.047,812
6370,20110818 13:32:33,50.5573,3.2015,3.2,2,-16,0.074,812
6371,20110818 13:32:33,50.5382,3.3002,0,1,-8,0.06,812
6372,20110818 13:32:35,50.4028,3.126,0,1,10.8,0.045,812
6373,20110818 13:32:35,50.405,3.125,9,2,10.2,0.421,812
6374,20110818 13:32:35,50.7196,3.9748,0,1,-33.1,0.397,812
6375,20110818 13:32:35,50.7709,3.9345,7.8,2,5.9,0.335,812
6376,20110818 13:32:35,50.7698,3.9466,8.2,2,6,0.207,812
6377,20110818 13:32:35,50.7782,3.9495,8.6,2,10.7,0.123,812
6378,20110818 13:32:35,50.7642,3.9617,3.9,2,6,0.094,812
6379,20110818 13:32:41,51.1169,3.1898,0,1,-7.7,0.063,812
6387,20110818 13:32:54,50.5192,3.2731,9.3,2,-15.3,0.759,812
6388,20110818 13:33:00,50.7761,3.9347,6.3,2,-16.7,0.074,813
6389,20110818 13:33:00,50.7756,3.938,10.1,2,-6.1,0.163,813
6390,20110818 13:33:00,50.8194,3.9276,5.1,2,-5.2,0.148,813
6391,20110818 13:33:12,50.0247,3.8555,0,1,-41.8,0.064,813
6392,20110818 13:33:12,50.0241,3.8733,0,1,10.9,0.05,813
6394,20110818 13:33:17,50.7796,3.9506,0,1,11.6,0.05,813
6395,20110818 13:33:26,51.1293,3.1876,0,1,-14.8,0.046,813
6396,20110818 13:33:26,51.1158,3.1772,0,1,-9,0.05,813
6397,20110818 13:33:29,50.6325,3.5193,5.7,2,67.9,0.071,813
6398,20110818 13:33:29,50.6308,3.5155,0,1,-28.1,0.05,813
6399,20110818 13:33:29,50.6222,3.5479,0,1,-12.9,0.041,813
6400,20110818 13:33:32,50.5464,3.2565,3.8,2,-29.3,0.084,813
6401,20110818 13:33:32,50.5716,3.2463,3,2,-29.4,0.062,813
6402,20110818 13:33:32,50.5723,3.2466,3.1,2,-31.3,0.073,813
6403,20110818 13:33:32,50.5724,3.2465,2.6,2,-19.6,0.053,813
6404,20110818 13:33:34,51.3885,3.0817,0,1,-27.5,0.054,813
6405,20110818 13:33:34,51.3866,3.0851,0,1,8.7,0.059,813
6406,20110818 13:33:40,50.0229,3.8624,0,1,7.4,0.071,813
6407,20110818 13:33:40,50.0384,3.8509,0,1,-10.4,0.05,813
6408,20110818 13:33:41,50.4071,3.1105,6.9,2,9.8,0.226,813
6409,20110818 13:33:41,50.4133,3.1157,9.3,2,6,0.437,813
6410,20110818 13:33:46,50.7815,3.9447,6.9,2,-27.4,0.113,813
6411,20110818 13:33:46,50.7806,3.9515,8.4,2,11.7,0.217,813
6412,20110818 13:33:47,50.7832,3.9404,5.4,2,-9,0.096,813
6413,20110818 13:33:47,50.8259,3.9266,11.8,2,-3.6,0.264,813
6414,20110818 13:33:47,50.7577,3.9549,8.3,2,-9.5,0.153,813
6415,20110818 13:33:55,51.1444,3.1929,0,1,-7.3,0.063,813
6416,20110818 13:34:01,50.5318,3.286,4.8,2,17.5,0.098,814
6417,20110818 13:34:01,50.5282,3.2835,5.6,2,8.1,0.368,814
6418,20110818 13:34:01,50.5207,3.2703,0,1,-19.9,0.04,814
6419,20110818 13:34:01,50.5336,3.3074,0,1,-7.3,0.049,814
6420,20110818 13:34:11,50.7777,3.9754,5.2,2,4.4,0.19,814
6421,20110818 13:34:11,50.7849,3.9422,0,1,-21.8,0.057,814
6422,20110818 13:34:11,50.806,4.0178,7.5,2,-5.1,0.448,814
6423,20110818 13:34:11,50.8019,3.9276,0,1,-5.7,0.065,814
6424,20110818 13:34:17,50.9906,2.9897,0,1,13,0.043,814
6425,20110818 13:34:17,51.0114,3.0001,0,1,-21.6,0.044,814
6426,20110818 13:34:17,50.9927,3.0067,0,1,-16.2,0.047,814
6427,20110818 13:34:22,50.5652,3.2857,0,1,7.6,0.061,814
6428,20110818 13:34:22,50.5653,3.2876,11.4,2,10.1,1.273,814
6429,20110818 13:34:22,50.5655,3.2799,5.5,2,5.1,0.356,814
6430,20110818 13:34:23,50.5083,3.3543,0,1,9.8,0.045,814
6431,20110818 13:34:34,51.146,3.1956,0,1,-13.1,0.038,814
6432,20110818 13:34:34,51.1351,3.1872,0,1,-16.2,0.042,814
6433,20110818 13:34:34,51.1418,3.2139,0,1,-13.9,0.047,814
6434,20110818 13:34:38,50.4085,3.1256,8.8,2,12.6,0.312,814
6435,20110818 13:34:38,50.4083,3.1281,9,2,3.4,0.496,814
6436,20110818 13:34:50,50.6104,3.0747,5.2,2,41.1,0.371,814
6437,20110818 13:34:50,50.6165,3.0647,0,2,-14,0.06,814
6441,20110818 13:34:56,50.7796,3.9887,4.2,2,-5.4,0.102,814
6442,20110818 13:34:56,50.7917,3.956,0,1,-73.8,0.045,814
6443,20110818 13:34:56,50.7796,3.9862,0,1,-4.5,0.068,814
6444,20110818 13:34:56,50.7934,3.9416,8.5,2,10.2,0.132,814
6445,20110818 13:34:56,50.795,3.9485,8.7,2,5.5,0.342,814
6446,20110818 13:34:56,50.7731,3.9448,0,1,-8,0.049,814
6447,20110818 13:35:01,50.0562,3.6053,14.1,2,-7.8,0.243,815
6448,20110818 13:35:01,50.0786,3.6013,0,1,-8.1,0.063,815
6450,20110818 13:35:06,51.1553,3.2044,0,1,-25.6,0.045,815
6451,20110818 13:35:06,51.1552,3.2033,0,1,-8.6,0.061,815
6452,20110818 13:35:07,50.0338,3.893,0,1,-25.1,0.046,815
6453,20110818 13:35:07,50.0359,3.8969,0,1,18.1,0.044,815
6454,20110818 13:35:07,50.0407,3.8974,8.2,2,7.2,0.098,815
6455,20110818 13:35:10,50.001,3.0935,6.5,2,-8.9,0.087,815
6456,20110818 13:35:10,50.0235,3.1108,0,1,-19.8,0.045,815
6457,20110818 13:35:10,50.0076,3.0572,0,1,-26.4,0.038,815
6459,20110818 13:35:10,50.4079,3.1557,3.7,2,-10.8,0.043,815
6460,20110818 13:35:10,50.4376,3.2087,0,1,-9.3,0.047,815
6461,20110818 13:35:12,50.6464,3.542,0,1,-33.2,0.065,815
6462,20110818 13:35:12,50.6492,3.5367,8.7,2,16.2,0.293,815
6463,20110818 13:35:12,50.65,3.5359,4.7,2,-7.6,0.112,815
6464,20110818 13:35:12,50.6457,3.5403,8.9,2,6.3,0.34,815
6465,20110818 13:35:12,50.6478,3.5373,0,1,-4.9,0.062,815
6466,20110818 13:35:13,50.5757,3.3083,0,1,-9.8,0.106,815
6467,20110818 13:35:13,50.5786,3.293,8.8,2,5.6,0.703,815
6468,20110818 13:35:13,50.5322,3.3101,9,2,-5,0.66,815
6469,20110818 13:35:13,50.559,3.3403,9.5,2,5.1,0.734,815
6470,20110818 13:35:29,50.5354,3.3173,0,1,-10.5,0.04,815
6472,20110818 13:35:50,50.7965,3.9589,5.1,2,-10.2,0.075,815
6473,20110818 13:35:50,50.7988,3.9588,7.2,2,7.9,0.127,815
6474,20110818 13:35:50,50.8015,3.9682,7.9,2,6.1,0.301,815
6475,20110818 13:35:59,50.6654,3.5399,10.3,2,5.6,0.493,815
6476,20110818 13:35:59,50.6528,3.5536,11.2,2,9.6,0.351,815
6479,20110818 13:36:08,50.9995,3.0306,0,2,-7.7,0.049,816
6480,20110818 13:36:08,50.995,3.0525,0,1,-65.6,0.045,816
6481,20110818 13:36:08,51.0016,3.0269,0,2,-6.1,0.103,816
6482,20110818 13:36:08,50.9986,3.0357,0,1,7.4,0.058,816
6483,20110818 13:36:08,51.0087,3.0444,0,1,-35.2,0.047,816
6484,20110818 13:36:08,51.0015,3.0059,0,1,-17.9,0.043,816
6485,20110818 13:36:08,51.0591,3.0775,0,1,-5.7,0.093,816
6486,20110818 13:36:08,51.0899,3.0773,0,1,-80.9,0.044,816
6487,20110818 13:36:08,51.1208,3.0501,0,1,-6,0.092,816
6488,20110818 13:36:09,51.0898,3.0742,0,1,-30.1,0.044,816
6489,20110818 13:36:09,51.0909,3.0752,0,1,-19,0.041,816
6490,20110818 13:36:14,50.7936,4.0027,0,1,10.2,0.055,816
6491,20110818 13:36:14,50.8359,3.96,0,1,-7.8,0.052,816
6492,20110818 13:36:16,50.4189,3.1293,3.2,2,-13.9,0.048,816
6493,20110818 13:36:16,50.4069,3.1252,4.9,2,-56.6,0.063,816
6494,20110818 13:36:16,50.4221,3.1228,5.3,2,11.4,0.114,816
6495,20110818 13:36:16,50.4309,3.1341,3.6,2,-28.5,0.053,816
6496,20110818 13:36:16,50.4239,3.1346,6,2,-5.4,0.276,816
6497,20110818 13:36:16,50.4312,3.134,4,2,-50.2,0.06,816
6498,20110818 13:36:16,50.4166,3.1415,0,1,11.9,0.043,816
6499,20110818 13:36:16,50.4308,3.1348,0,1,-12.3,0.042,816
6500,20110818 13:36:22,50.5806,3.3346,0,1,8.2,0.068,816
6501,20110818 13:36:22,50.5708,3.3284,9.4,2,5.8,0.779,816
6502,20110818 13:36:25,50.0235,3.1376,0,1,13.5,0.048,816
6503,20110818 13:36:25,50.0223,3.1371,4.9,2,-11.2,0.049,816
6504,20110818 13:36:25,50.0267,3.1261,0,1,-35.4,0.039,816
6505,20110818 13:36:25,50.0127,3.1184,0,1,-16.7,0.042,816
6506,20110818 13:36:25,50.0383,3.122,0,1,-26.4,0.042,816
6507,20110818 13:36:33,50.0834,3.6112,0,1,12.9,0.044,816
6508,20110818 13:36:33,50.0943,3.5918,0,1,-10.1,0.045,816
6509,20110818 13:36:36,51.4251,3.131,0,1,-77.4,0.05,816
6510,20110818 13:36:36,51.4248,3.1253,0,1,7.9,0.061,816
6511,20110818 13:36:36,51.419,3.1293,0,1,16.6,0.078,816
6512,20110818 13:36:36,51.4073,3.0603,8.7,2,-7.4,0.099,816
6513,20110818 13:36:48,50.7948,3.9719,0,1,-36.2,0.042,816
6514,20110818 13:36:48,50.8031,3.9688,0,1,-31.2,0.043,816
6515,20110818 13:36:48,50.803,3.9691,0,1,-7.8,0.053,816
6516,20110818 13:36:48,50.8007,3.9683,0,1,-7.3,0.051,816
6517,20110818 13:36:48,50.5773,3.3094,0,1,-13.9,0.051,816
6518,20110818 13:36:49,51.1844,3.1081,0,2,6.9,0.062,816
6519,20110818 13:36:49,51.1858,3.1135,0,1,-89.7,0.052,816
6520,20110818 13:36:49,51.1849,3.1127,0,1,-16.7,0.043,816
6521,20110818 13:36:49,51.1853,3.1074,0,1,-22.8,0.046,816
6522,20110818 13:36:49,51.1847,3.1121,0,1,-10.6,0.048,816
6523,20110818 13:37:01,50.435,3.1703,0,1,-19.9,0.047,817
6524,20110818 13:37:01,50.4447,3.1699,3.7,2,-8,0.081,817
6529,20110818 13:37:11,51.1625,3.2031,0,1,-8.6,0.05,817
6531,20110818 13:37:12,50.812,3.9786,0,1,-25.1,0.039,817
6532,20110818 13:37:12,50.8151,3.9782,0,1,-10.9,0.05,817
6533,20110818 13:37:12,50.8058,3.9514,0,1,-6.3,0.061,817
6534,20110818 13:37:12,50.819,4.0167,0,1,-6,0.057,817
6535,20110818 13:37:12,50.8192,4.0331,4.8,2,12.3,0.067,817
6536,20110818 13:37:12,50.8081,3.9815,4.6,2,-6.3,0.115,817
6537,20110818 13:37:14,50.0228,3.1194,0,1,12.4,0.044,817
6538,20110818 13:37:14,50.0213,3.1179,0,1,-28.8,0.041,817
6539,20110818 13:37:14,50.0387,3.1305,0,1,-16.8,0.039,817
6540,20110818 13:37:14,50.0126,3.1304,0,1,-17.5,0.041,817
6541,20110818 13:37:14,50.0496,3.1361,0,1,-8.9,0.062,817
6542,20110818 13:37:14,50.016,3.0927,0,1,-9,0.076,817
6543,20110818 13:37:16,50.0471,3.9056,0,1,-64.5,0.095,817
6544,20110818 13:37:16,50.0457,3.9046,7.8,2,20,0.086,817
6545,20110818 13:37:16,50.6629,3.5563,0,1,-9,0.048,817
6546,20110818 13:37:16,50.6678,3.5618,5.4,2,-20.3,0.099,817
6547,20110818 13:37:16,50.6657,3.563,0,1,13.5,0.055,817
6548,20110818 13:37:16,50.6685,3.5608,11.2,2,9.2,0.32,817
6549,20110818 13:37:17,51.0124,3.0504,0,1,-67.3,0.045,817
6550,20110818 13:37:17,51.0129,3.0536,0,1,-40.5,0.043,817
6551,20110818 13:37:17,51.0082,3.0317,0,1,-36.1,0.041,817
6552,20110818 13:37:17,51.0257,3.0586,0,1,-7.4,0.059,817
6554,20110818 13:37:41,50.551,3.3253,0,1,-10.1,0.055,817
6555,20110818 13:37:41,50.5515,3.3234,8.6,2,-19.1,0.424,817
6556,20110818 13:37:41,50.5411,3.3223,0,1,6.8,0.055,817
6557,20110818 13:37:41,50.5586,3.26,0,1,-25.2,0.054,817
6558,20110818 13:37:46,50.8278,3.9957,0,1,-17.6,0.043,817
6559,20110818 13:37:46,50.8267,3.9947,0,1,-16.8,0.04,817
6560,20110818 13:37:46,50.8254,3.9848,0,1,-14.3,0.041,817
6564,20110818 13:37:54,50.4324,3.1434,5.6,2,24.3,0.12,817
6565,20110818 13:37:54,50.4228,3.1492,0,2,-5.4,0.236,817
6566,20110818 13:37:54,50.4137,3.1413,6.4,2,-80.8,0.176,817
6567,20110818 13:37:54,50.4311,3.1329,0,1,-52.8,0.042,817
6568,20110818 13:37:54,50.4427,3.1062,0,1,6.4,0.375,817
6569,20110818 13:37:54,50.4407,3.1445,0,1,-15.3,0.047,817
6570,20110818 13:37:58,50.7272,3.1544,5.3,2,-57.8,0.222,817
6571,20110818 13:37:58,50.7276,3.1575,8.5,2,11.4,0.631,817
6572,20110818 13:37:58,50.723,3.1562,6.9,2,5.4,0.658,817
6573,20110818 13:37:58,50.7831,3.1541,0,1,-23.4,0.047,817
6574,20110818 13:38:08,50.0284,3.1241,7.4,2,-4.5,0.125,818
6575,20110818 13:38:08,50.0277,3.1205,0,1,-7.8,0.07,818
6576,20110818 13:38:08,50.0299,3.1143,0,1,-47.6,0.037,818
6577,20110818 13:38:08,50.0272,3.1027,0,1,-11.6,0.045,818
6578,20110818 13:38:08,50.022,3.0787,0,1,-12.7,0.043,818
6579,20110818 13:38:14,51.0133,3.0485,0,1,-55.1,0.049,818
6580,20110818 13:38:14,51.0179,3.0711,0,1,-24,0.043,818
6581,20110818 13:38:14,51.0104,3.0445,0,1,-31.5,0.042,818
6582,20110818 13:38:16,50.4315,3.136,8.9,2,21.8,0.47,818
6583,20110818 13:38:24,50.8124,4.0006,0,1,-56.1,0.043,818
6584,20110818 13:38:24,50.8125,4.0013,0,1,-13.9,0.044,818
6585,20110818 13:38:24,50.8106,3.9962,0,1,-21.7,0.042,818
6586,20110818 13:38:25,50.8033,4.0143,0,1,-8.9,0.054,818
6588,20110818 13:38:29,51.1936,3.1352,0,1,29.8,0.045,818
6589,20110818 13:38:29,51.1855,3.113,0,1,11.2,0.054,818
6590,20110818 13:38:29,51.184,3.0837,0,1,8.3,0.072,818
6591,20110818 13:38:39,50.4304,3.1741,9.5,2,8.1,0.568,818
6592,20110818 13:38:41,50.5373,3.3362,7.6,2,-13,0.499,818
6593,20110818 13:38:41,50.5349,3.3383,9,2,5.4,0.61,818
6594,20110818 13:38:41,50.551,3.3497,0,1,6.1,0.358,818
6598,20110818 13:38:56,50.668,3.5891,5.7,2,58.6,0.053,818
6599,20110818 13:38:56,50.6732,3.5755,0,1,-34.8,0.045,818
6600,20110818 13:38:58,50.429,3.1827,10,2,5,0.545,818
6601,20110818 13:39:01,50.8331,4.0053,0,1,-23.1,0.041,819
6602,20110818 13:39:01,50.8133,3.9976,0,1,-8.1,0.062,819
6603,20110818 13:39:01,50.8204,4.0098,0,1,-19.1,0.045,819
6604,20110818 13:39:05,50.1008,3.6307,0,2,13.2,0.047,819
6605,20110818 13:39:05,50.0976,3.6415,0,1,-20.2,0.038,819
6606,20110818 13:39:05,50.0975,3.6408,0,1,-20.2,0.043,819
6607,20110818 13:39:06,51.4406,3.15,0,1,-28.6,0.05,819
6608,20110818 13:39:06,51.431,3.1399,0,1,7.9,0.069,819
6609,20110818 13:39:14,50.5729,3.3813,4.6,2,11.5,0.073,819
6610,20110818 13:39:14,50.5613,3.3598,3.4,2,-36.6,0.049,819
6611,20110818 13:39:14,50.6036,3.3366,3.1,2,-15.7,0.06,819
6612,20110818 13:39:14,50.5513,3.3271,0,1,-8.8,0.051,819
6613,20110818 13:39:15,50.5679,3.3723,0,1,-7.5,0.064,819
6614,20110818 13:39:15,50.5584,3.439,0,1,-8.2,0.06,819
6615,20110818 13:39:15,50.5604,3.439,5.6,2,8.7,0.2,819
6616,20110818 13:39:15,50.5087,3.4405,0,1,-31.3,0.04,819
6617,20110818 13:39:15,50.5086,3.4408,0,1,-33.6,0.039,819
6618,20110818 13:39:15,50.4435,3.1706,0,2,9,0.29,819
6619,20110818 13:39:15,50.4237,3.1798,0,1,6.8,0.049,819
6620,20110818 13:39:18,51.0312,3.0392,0,1,-64.7,0.046,819
6621,20110818 13:39:18,51.0209,3.0486,0,1,-22.1,0.043,819
6622,20110818 13:39:18,51.0275,3.0351,6.2,2,-24,0.078,819
6623,20110818 13:39:18,51.0381,3.033,0,1,-27.4,0.051,819
6624,20110818 13:39:18,51.0523,3.047,0,1,13.8,0.075,819
6625,20110818 13:39:18,51.0402,3.0372,5.7,2,7.1,0.109,819
6626,20110818 13:39:18,51.0631,3.0767,6.2,2,-7.1,0.132,819
6627,20110818 13:39:18,51.1845,3.2327,0,1,13.7,0.043,819
6628,20110818 13:39:19,50.0331,3.1381,0,1,8.8,0.06,819
6629,20110818 13:39:19,50.0321,3.1187,0,1,-38.1,0.037,819
6630,20110818 13:39:19,50.0232,3.1647,0,1,-18.3,0.039,819
6631,20110818 13:39:19,50.0219,3.1461,0,1,-15.6,0.051,819
6632,20110818 13:39:19,50.0128,3.0919,0,1,-7.4,0.054,819
6633,20110818 13:39:30,50.0579,3.9365,0,1,-52.2,0.04,819
6634,20110818 13:39:30,50.0618,3.9373,0,1,-22.1,0.046,819
6635,20110818 13:39:30,50.0581,3.9589,9.4,2,5.8,0.12,819
6636,20110818 13:39:30,50.0658,3.9216,8.3,2,6.5,0.099,819
6637,20110818 13:39:31,50.5362,3.3509,0,1,6.5,0.072,819
6638,20110818 13:39:31,50.5314,3.3659,0,1,11.9,0.058,819
6639,20110818 13:39:36,50.4375,3.1652,4.8,2,12.8,0.084,819
6640,20110818 13:39:36,50.4228,3.1612,0,1,-29.3,0.043,819
6641,20110818 13:39:36,50.4331,3.147,4.2,2,-12.9,0.075,819
6642,20110818 13:39:36,50.4498,3.1606,0,1,-10.7,0.042,819
6648,20110818 13:39:53,50.5363,3.3462,6.9,2,-8.9,0.253,819
6649,20110818 13:40:00,50.0221,3.0454,0,1,-23.5,0.04,820
6650,20110818 13:40:02,50.446,3.1377,5.4,2,9.2,0.293,820
6651,20110818 13:40:02,50.4406,3.1727,8.9,2,-7.7,0.504,820
6652,20110818 13:40:04,50.8231,4.02,0,1,6.1,0.053,820
6653,20110818 13:40:04,50.8245,4.0056,0,1,-12.8,0.046,820
6654,20110818 13:40:04,50.8167,4.0106,0,1,-28.4,0.042,820
6655,20110818 13:40:04,50.8275,3.9856,0,1,-14.1,0.042,820
6656,20110818 13:40:05,50.8018,3.993,7.1,2,6.9,0.26,820
6657,20110818 13:40:05,50.807,3.9931,6.3,2,8.4,0.141,820
6658,20110818 13:40:19,50.4914,3.2945,7.7,2,7,0.461,820
6659,20110818 13:40:21,50.1052,3.6469,0,1,7.7,0.055,820
6660,20110818 13:40:21,50.1058,3.6315,0,1,-22.9,0.036,820
6661,20110818 13:40:25,50.5405,3.3607,8.3,2,7,0.394,820
6662,20110818 13:40:25,50.5424,3.3642,8.8,2,6.8,0.42,820
6663,20110818 13:40:27,50.4383,3.2029,0,1,-24.9,0.039,820
6664,20110818 13:40:27,50.449,3.2116,0,1,-14.5,0.042,820
6665,20110818 13:40:27,50.4127,3.205,0,1,-22.7,0.039,820
6666,20110818 13:40:27,50.4484,3.2131,0,1,-9.7,0.047,820
